GRANT_CARD_CODE,TAP_IN,TAP_OUT,TIME_IN,TIME_OUT
42959445,56,46,835,900
85035658,38,44,502,524
71736400,170,49,481,531
87549179,6,37,531,553
27733473,17,35,606,637
47781496,106,37,869,899
72429779,114,50,533,579
63142403,82,50,998,1034
53063708,25,50,469,529
11042647,133,50,459,523
46636933,95,46,520,554
11887895,82,46,510,556
78395122,95,46,543,580
82914567,24,46,546,580
18537378,44,46,967,977
69760279,12,45,609,637
12525641,50,45,1059,1074
19679927,43,41,573,580
52281102,167,50,484,526
71199656,18,46,890,898
89719623,126,46,555,580
79169408,67,46,550,582
32096104,156,42,597,634
51072592,257,39,511,582
43468954,270,37,489,555
24918685,5,44,516,556
80577729,61,42,427,460
54220597,34,46,467,530
46458750,248,43,1246,1301
42643135,52,43,1074,1138
83023022,227,46,501,526
19147100,54,43,463,525
15830359,214,45,519,549
15188877,265,43,1169,1238
88512986,17,43,616,631
71628726,34,36,507,580
16339357,38,49,459,478
68130720,260,43,1192,1280
14039143,38,41,585,585
43505067,128,46,617,650
13039017,195,40,1254,1283
67358192,38,40,1019,1025
13886796,229,38,461,510
84210534,25,37,459,509
79291985,44,50,1132,1150
71959679,112,45,923,960
47837503,42,38,1052,1064
89461363,43,38,940,959
52479670,50,38,1046,1062
84659897,45,48,1138,1146
43075450,1,49,458,507
2725889,105,50,633,653
12201468,36,38,1060,1071
78026804,2,46,548,601
74457593,73,38,1038,1058
16174676,37,38,1095,1102
21713058,38,37,1016,1026
67157528,48,39,623,650
86625977,105,37,928,958
17177668,44,38,1066,1086
72535266,163,35,1109,1150
18320250,42,37,866,889
71368730,255,38,1073,1121
12635156,42,37,424,446
86350241,43,48,845,871
2425118,231,42,467,510
48815786,45,42,582,597
88988518,38,42,625,638
15694506,261,35,384,450
16634733,270,39,434,511
47836750,44,42,496,508
32189211,20,49,843,869
42602544,140,46,568,599
12734335,163,46,562,601
13229272,50,37,487,508
3621857,40,37,446,459
17552192,37,35,946,956
68048781,126,41,1111,1146
87745568,10,44,1120,1145
32733077,42,38,1095,1116
49386884,119,50,941,961
10166945,20,38,1039,1063
22543094,75,46,567,602
52467636,141,35,1125,1146
42528894,136,44,423,473
14270530,50,38,1030,1048
17270355,17,38,631,650
31065037,18,42,631,640
47206975,44,41,1135,1149
12514031,50,44,1128,1147
43334130,42,36,423,442
19202678,118,40,1021,1045
30386034,56,35,1101,1150
