27,152,313,150,82,34,39,30,22,22,26,27,37,26,15,7,4,0
8,51,143,104,42,16,14,23,14,17,13,10,32,22,7,2,7,1
9,69,122,96,42,12,18,28,17,14,19,18,17,26,5,5,8,0
9,90,197,136,70,36,18,13,24,16,18,20,32,24,15,11,7,0
13,58,172,125,52,26,22,33,35,20,22,24,46,39,19,15,9,0
4,37,175,84,50,35,33,48,33,39,38,58,83,56,25,18,12,2
3,18,79,55,34,17,16,16,21,22,17,20,30,27,15,16,7,2
0,6,28,18,11,8,14,17,13,5,11,17,25,13,8,10,6,1
4,21,46,34,23,14,20,14,25,12,14,16,43,27,6,3,3,1
1,15,74,42,21,16,14,13,18,16,19,52,61,34,13,8,5,0
3,5,36,24,14,19,14,13,14,21,18,37,62,45,6,7,6,3
2,18,75,72,32,51,58,57,56,49,76,94,224,289,72,58,25,9
1,9,24,20,17,18,34,49,58,45,69,87,111,118,65,76,33,23
0,1,2,1,2,4,8,4,7,8,14,23,23,7,6,1,2,19
2,2,11,2,3,9,11,26,9,16,20,36,17,18,6,3,6,5
0,0,1,5,9,10,18,26,25,35,53,36,49,56,30,42,14,11
2,3,8,9,18,25,26,35,26,23,33,30,57,59,26,18,9,7
2,13,75,51,33,48,57,52,34,54,63,85,182,213,54,38,27,17
2,5,31,31,14,22,27,36,38,35,35,39,114,177,57,30,22,5
3,33,133,117,56,56,64,75,66,57,73,72,139,172,69,55,35,7
10,37,167,115,50,54,53,59,61,72,54,70,128,184,70,41,25,14
1,30,126,106,63,35,23,33,35,33,18,30,61,66,38,15,4,3
1,35,91,125,40,30,26,24,16,15,20,12,40,65,13,16,5,1
0,6,7,16,13,3,11,7,7,8,6,11,13,28,8,6,3,1
9,30,90,59,37,15,21,14,24,20,9,5,12,9,8,7,5,0
4,56,94,64,54,15,19,16,17,11,16,10,16,18,16,9,5,1
7,36,94,52,35,20,15,13,17,14,9,8,14,11,1,3,1,0
3,16,40,24,8,2,4,7,1,3,2,0,0,1,3,1,0,0
5,35,105,56,25,17,12,10,11,14,8,4,10,13,1,6,4,1
9,43,100,75,33,19,6,12,2,4,6,7,3,1,3,3,1,0
6,26,65,28,18,7,11,5,9,6,8,4,4,8,3,5,0,0
5,66,110,53,22,14,12,9,16,8,6,4,5,7,1,2,1,1
7,39,48,20,17,7,3,8,2,1,2,1,7,4,0,0,1,0
7,59,117,71,28,11,19,14,15,5,6,7,10,8,8,4,2,0
22,49,236,226,123,110,88,114,128,90,91,120,208,229,80,71,59,17
3,28,117,67,36,33,34,59,35,35,70,70,136,172,38,33,16,2
8,45,166,146,94,70,93,105,100,67,110,149,342,388,81,85,47,23
20,144,496,387,196,117,67,85,92,70,99,132,196,191,63,34,17,12
10,20,182,178,56,43,46,60,58,47,46,55,108,102,35,45,15,9
4,33,145,147,62,50,25,33,25,29,38,65,64,56,14,17,12,5
12,33,125,131,88,53,49,81,72,79,80,79,70,76,31,34,23,3
8,31,251,243,111,97,90,127,102,84,133,125,181,157,58,68,53,20
68,80,135,86,102,141,108,117,129,93,150,87,151,179,60,77,46,27
3,19,117,87,36,64,60,100,89,109,119,135,305,368,149,89,61,22
1,21,99,71,55,48,79,78,62,88,84,95,245,330,100,81,44,19
8,133,373,278,200,181,161,180,149,154,149,194,279,383,157,145,85,33
8,21,99,76,40,51,43,57,52,40,51,79,95,135,53,30,18,4
3,33,191,132,66,32,50,36,49,38,68,65,126,85,38,32,12,7
6,42,196,140,60,38,19,32,40,34,43,59,102,76,31,21,8,6
13,87,293,326,179,103,87,106,101,93,121,132,217,202,53,65,24,12
11,81,98,34,23,9,20,14,12,19,14,9,12,10,4,1,0,0
3,34,34,19,9,5,3,7,1,2,8,9,8,1,1,0,0,0
2,14,16,9,5,0,1,5,6,1,0,2,1,3,1,0,0,0
9,45,94,26,15,15,10,9,5,5,13,2,8,4,2,4,0,0
3,38,79,32,36,8,20,19,10,16,14,7,10,7,7,5,2,0
3,37,67,32,17,13,16,17,13,5,12,9,9,8,3,1,3,0
7,57,148,60,23,9,11,11,21,7,13,9,7,3,4,5,2,0
1,26,66,32,27,14,24,18,18,12,23,12,12,13,9,7,2,0
5,38,109,47,33,18,10,15,17,5,4,7,7,7,2,4,2,0
4,75,205,74,55,16,21,21,26,29,29,13,14,11,8,13,7,0
9,82,174,108,52,31,10,23,19,23,14,19,20,18,5,8,4,0
2,62,177,84,48,24,19,16,20,16,22,17,34,39,16,14,8,1
4,43,140,88,39,14,11,21,28,17,12,9,23,17,1,12,4,1
3,53,150,76,41,26,13,19,17,17,15,16,24,15,10,4,2,4
3,32,156,82,74,46,39,71,85,85,70,70,54,79,52,47,32,6
6,42,151,69,38,29,30,24,23,23,22,34,54,26,7,4,7,1
