9,18,42,110,167,146,83,67,55,27,21,13,23,16,20,10,12,10,7,15,17,9,20,7,21,16,17,9,9,6,5,2,3,1,0,0
3,5,29,22,75,68,76,28,24,18,8,8,8,6,12,11,12,2,7,10,8,5,7,3,16,16,14,8,5,2,2,0,4,3,1,0
3,6,24,45,70,52,64,32,30,12,9,3,6,12,13,15,12,5,8,6,14,5,10,8,8,9,15,11,3,2,5,0,4,4,0,0
1,8,17,73,110,87,100,36,44,26,15,21,7,11,7,6,11,13,5,11,6,12,8,12,12,20,18,6,9,6,4,7,2,5,0,0
2,11,10,48,85,87,91,34,39,13,16,10,13,9,15,18,16,19,11,9,13,9,15,9,18,28,18,21,8,11,9,6,7,2,0,0
0,4,11,26,93,82,56,28,30,20,11,24,15,18,23,25,19,14,20,19,21,17,22,36,34,49,36,20,17,8,9,9,4,8,2,0
0,3,2,16,47,32,32,23,12,22,13,4,5,11,10,6,11,10,15,7,8,9,6,14,14,16,15,12,9,6,9,7,6,1,2,0
0,0,0,6,12,16,12,6,6,5,3,5,4,10,6,11,8,5,3,2,6,5,12,5,8,17,9,4,4,4,6,4,3,3,1,0
0,4,8,13,13,33,21,13,17,6,9,5,11,9,10,4,11,14,7,5,5,9,4,12,15,28,16,11,4,2,1,2,1,2,1,0
0,1,7,8,33,41,27,15,8,13,7,9,6,8,6,7,5,13,8,8,7,12,25,27,26,35,18,16,5,8,4,4,3,2,0,0
2,1,0,5,17,19,13,11,6,8,10,9,3,11,10,3,5,9,11,10,6,12,16,21,18,44,29,16,6,0,6,1,3,3,3,0
0,2,5,13,20,55,44,28,15,17,15,36,25,33,35,22,28,28,25,24,27,49,36,58,71,153,168,121,45,27,30,28,12,13,8,1
1,0,2,7,12,12,10,10,9,8,13,5,12,22,18,31,21,37,27,18,25,44,32,55,60,51,60,58,33,32,41,35,15,18,19,4
0,0,1,0,1,1,0,1,0,2,2,2,1,7,4,0,2,5,3,5,4,10,19,4,11,12,1,6,2,4,0,1,2,0,11,8
0,2,0,2,8,3,2,0,1,2,4,5,7,4,14,12,4,5,9,7,12,8,12,24,9,8,12,6,0,6,3,0,5,1,5,0
0,0,0,0,0,1,1,4,4,5,4,6,5,13,11,15,7,18,21,14,20,33,11,25,17,32,35,21,19,11,18,24,8,6,11,0
1,1,3,0,1,7,4,5,4,14,11,14,8,18,19,16,16,10,13,10,15,18,14,16,25,32,42,17,16,10,7,11,3,6,5,2
