3,0,6,4,5,9,13,9,20,26,43,41,55,68,44,36,52,58,31,27,25,21,15,31,28,20,7,10,7,10,9,6,6,6,3,4,9,8,6,6,5,5,8,4,8,4,2,4,3,7,2,1,3,6,3,1,3,6,3,6,4,7,6,2,4,3,10,5,5,6,1,0,4,6,11,6,4,6,7,6,4,3,3,3,2,6,1,2,1,3,1,1,3,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0
1,2,0,0,3,2,12,3,14,3,11,8,21,25,29,23,15,30,45,18,13,15,4,9,12,8,4,9,4,5,1,4,3,3,3,2,0,3,5,1,1,4,5,2,5,6,3,2,2,3,7,1,1,0,7,0,0,3,4,3,4,3,1,1,1,3,0,2,5,2,0,1,3,7,6,4,4,8,1,3,10,2,3,3,0,4,1,0,1,1,1,1,0,0,0,0,1,1,2,0,0,3,1,0,0,0,0,0
1,1,1,1,3,2,5,3,16,15,8,22,16,30,24,20,15,17,28,20,16,9,13,10,17,10,3,3,5,4,4,3,2,1,0,2,2,3,1,5,3,4,4,7,2,4,3,8,6,4,2,3,2,0,4,3,1,3,2,1,6,5,3,1,3,1,2,4,4,1,5,2,2,1,5,1,6,2,2,8,5,5,4,2,1,1,1,0,1,1,2,1,2,0,0,0,2,1,1,1,1,2,0,0,0,0,0,0
0,0,1,5,1,2,8,3,6,10,29,34,32,29,49,36,22,29,42,41,17,17,7,12,19,14,11,10,7,9,7,3,5,8,8,5,1,2,4,6,2,3,3,2,2,4,0,2,7,3,1,5,5,3,4,1,0,3,7,1,4,2,0,7,1,4,1,4,3,7,5,0,2,3,7,5,8,7,7,6,5,1,3,2,2,4,3,1,1,4,0,2,2,6,1,0,0,1,1,2,3,0,0,0,0,0,0,0
0,1,1,2,4,5,2,5,3,6,19,23,18,32,35,35,23,29,33,35,23,15,12,7,14,20,5,6,2,5,6,6,4,3,3,4,5,3,5,4,3,2,8,4,3,5,8,5,1,7,8,13,5,1,7,3,1,2,3,4,1,5,7,3,2,4,4,8,3,2,3,4,4,5,9,6,11,11,5,11,2,7,8,6,1,3,4,2,5,4,4,2,3,1,5,0,2,3,2,0,1,1,0,0,0,0,0,0
0,0,0,0,1,3,2,5,4,4,6,16,27,28,38,27,33,22,22,22,12,6,11,11,9,12,9,8,6,6,6,2,3,13,4,7,4,5,6,4,9,5,12,9,2,12,7,6,1,9,9,6,5,3,8,9,3,5,7,7,7,8,6,8,7,2,6,7,9,12,16,8,7,10,17,13,22,14,9,9,18,4,8,8,3,10,4,3,2,3,5,2,2,2,5,2,2,1,1,1,1,6,1,0,1,0,0,0
0,0,0,0,3,0,0,2,0,5,5,6,14,10,23,15,9,8,10,11,11,7,8,8,2,6,4,10,5,7,5,4,4,1,3,0,1,2,2,8,2,1,3,5,2,4,2,0,3,2,6,8,2,0,3,6,6,3,3,1,0,2,6,4,1,4,4,0,2,5,4,5,3,7,4,2,8,6,2,10,3,6,5,1,3,1,5,2,1,3,1,5,3,1,3,3,3,1,2,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,3,3,2,5,5,4,9,3,2,8,2,3,2,1,1,2,3,4,1,0,0,1,2,4,0,1,1,3,0,2,5,3,2,3,1,5,4,2,5,0,3,1,1,3,1,1,1,1,0,1,0,2,4,1,3,1,1,5,6,2,3,0,4,2,2,2,10,5,3,3,3,0,4,0,1,0,3,2,2,0,2,4,0,1,0,3,1,0,2,2,1,0,1,0,0,0,0,0
0,0,0,0,2,2,3,4,1,5,4,4,5,3,5,16,10,7,3,9,9,5,5,3,7,6,4,2,3,1,2,3,4,3,2,0,7,1,3,1,3,5,2,7,1,3,1,0,0,4,7,5,5,4,3,4,0,1,0,4,3,2,0,2,4,3,2,0,2,3,4,5,3,7,5,10,12,6,6,5,5,3,4,4,3,0,1,1,0,1,1,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,3,1,3,3,5,0,14,8,11,24,12,5,7,7,13,5,7,3,1,4,3,8,2,3,3,2,2,4,2,3,1,2,3,1,5,2,4,0,2,3,0,4,1,3,1,6,4,3,2,1,5,2,4,2,3,2,2,5,6,1,1,7,17,8,10,9,12,8,6,13,17,5,5,6,7,7,5,4,3,1,1,2,3,3,2,1,1,1,0,3,1,1,1,0,0,2,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,2,3,6,5,6,8,4,7,4,7,2,2,6,3,1,2,3,6,1,1,5,4,1,2,5,2,0,0,3,3,5,3,5,1,4,2,1,0,3,0,2,3,3,3,2,4,5,3,4,3,0,3,3,5,2,5,3,8,5,10,4,7,6,9,3,4,22,18,11,6,12,8,4,4,3,2,1,0,0,0,1,3,2,0,1,0,1,2,0,2,0,1,2,1,0,0,0,0
